"2 ggr/år","Svarsfördelning, procent män 18-29 år M","Svarsfördelning, procent män 18-29 år C","Svarsfördelning, procent män 18-29 år L","Svarsfördelning, procent män 18-29 år KD","Svarsfördelning, procent män 18-29 år NYD","Svarsfördelning, procent män 18-29 år MP","Svarsfördelning, procent män 18-29 år S","Svarsfördelning, procent män 18-29 år V","Svarsfördelning, procent män 18-29 år SD","Svarsfördelning, procent män 18-29 år övriga","Svarsfördelning, procent kvinnor 18-29 år M","Svarsfördelning, procent kvinnor 18-29 år C","Svarsfördelning, procent kvinnor 18-29 år L","Svarsfördelning, procent kvinnor 18-29 år KD","Svarsfördelning, procent kvinnor 18-29 år NYD","Svarsfördelning, procent kvinnor 18-29 år MP","Svarsfördelning, procent kvinnor 18-29 år S","Svarsfördelning, procent kvinnor 18-29 år V","Svarsfördelning, procent kvinnor 18-29 år SD","Svarsfördelning, procent kvinnor 18-29 år övriga","Felmarginal, ± män 18-29 år M","Felmarginal, ± män 18-29 år C","Felmarginal, ± män 18-29 år L","Felmarginal, ± män 18-29 år KD","Felmarginal, ± män 18-29 år NYD","Felmarginal, ± män 18-29 år MP","Felmarginal, ± män 18-29 år S","Felmarginal, ± män 18-29 år V","Felmarginal, ± män 18-29 år SD","Felmarginal, ± män 18-29 år övriga","Felmarginal, ± kvinnor 18-29 år M","Felmarginal, ± kvinnor 18-29 år C","Felmarginal, ± kvinnor 18-29 år L","Felmarginal, ± kvinnor 18-29 år KD","Felmarginal, ± kvinnor 18-29 år NYD","Felmarginal, ± kvinnor 18-29 år MP","Felmarginal, ± kvinnor 18-29 år S","Felmarginal, ± kvinnor 18-29 år V","Felmarginal, ± kvinnor 18-29 år SD","Felmarginal, ± kvinnor 18-29 år övriga"
"2006M05",30.9,3.3,11.3,3.0,..,6.0,34.1,7.2,..,4.2,20.7,4.9,12.6,2.6,..,11.3,34.2,12.1,..,1.6,4.4,1.6,3.0,1.6,..,2.2,4.5,2.5,..,1.9,4.2,2.2,3.5,1.6,..,3.3,4.9,3.4,..,1.3
"2006M11",26.2,4.7,8.4,2.9,..,8.5,35.2,7.7,..,6.4,21.7,7.4,10.6,2.5,..,15.0,29.9,8.9,..,3.9,3.9,1.8,2.4,1.5,..,2.4,4.2,2.4,..,2.2,3.8,2.4,2.9,1.5,..,3.3,4.2,2.6,..,1.8
"2007M05",24.5,4.3,8.8,1.6,..,7.1,39.2,7.2,..,7.3,17.1,5.1,8.0,2.2,..,15.7,37.2,11.5,..,3.1,3.8,1.8,2.5,1.1,..,2.2,4.3,2.3,..,2.3,3.5,2.0,2.5,1.4,..,3.4,4.5,3.0,..,1.6
"2007M11",26.8,4.1,6.7,1.6,..,8.8,39.8,7.3,..,4.9,18.3,4.8,8.2,2.2,..,13.0,41.6,8.7,..,3.2,4.0,1.8,2.2,1.1,..,2.6,4.4,2.4,..,2.0,3.7,2.0,2.6,1.4,..,3.2,4.7,2.7,..,1.7
"2008M05",27.3,4.5,6.4,1.0,..,6.5,42.0,5.9,..,6.3,15.3,3.3,9.1,1.7,..,17.7,41.4,8.9,..,2.6,4.1,1.9,2.2,0.9,..,2.3,4.5,2.2,..,2.2,3.6,1.8,2.9,1.4,..,3.9,5.0,2.9,..,1.6
"2008M11",28.8,3.4,6.2,1.7,..,5.9,40.2,6.3,..,7.5,16.8,3.9,6.3,3.5,..,16.9,39.8,9.3,..,3.5,4.4,1.7,2.3,1.2,..,2.3,4.7,2.3,..,2.5,3.8,1.9,2.5,1.9,..,3.8,5.0,3.0,..,1.9
"2009M05",24.1,2.0,5.7,1.4,..,6.1,37.3,6.2,..,17.3,18.3,4.0,5.8,1.9,..,16.5,39.4,9.8,..,4.3,4.1,1.3,2.2,1.1,..,2.3,4.7,2.3,..,3.6,3.9,2.0,2.4,1.4,..,3.8,5.0,3.0,..,2.1
"2009M11",25.4,1.6,5.4,1.8,..,9.2,33.9,6.1,..,16.7,20.5,2.5,4.5,2.6,..,20.9,35.2,9.3,..,4.5,4.1,1.2,2.1,1.2,..,2.7,4.4,2.2,..,3.5,4.1,1.6,2.1,1.6,..,4.1,4.9,2.9,..,2.1
"2010M05",24.8,0.7,5.7,1.6,..,14.1,29.6,9.7,..,13.9,24.2,3.4,4.9,2.1,..,22.5,32.3,7.7,..,2.8,4.1,0.8,2.2,1.2,..,3.3,4.4,2.9,..,3.3,4.5,1.8,2.2,1.5,..,4.3,4.8,2.8,..,1.7
"2010M11",29.2,3.1,6.8,1.6,..,10.4,22.6,8.4,13.2,4.8,23.5,4.2,5.9,3.1,..,20.1,30.3,5.7,4.2,3.2,4.2,1.6,2.4,1.1,..,2.7,4.0,2.5,3.8,2.5,4.0,2.0,2.3,1.7,..,3.6,4.4,2.2,2.4,1.9
