"2 ggr/år","Svarsfördelning, procent män 55-64 år M","Svarsfördelning, procent män 55-64 år C","Svarsfördelning, procent män 55-64 år L","Svarsfördelning, procent män 55-64 år KD","Svarsfördelning, procent män 55-64 år NYD","Svarsfördelning, procent män 55-64 år MP","Svarsfördelning, procent män 55-64 år S","Svarsfördelning, procent män 55-64 år V","Svarsfördelning, procent män 55-64 år SD","Svarsfördelning, procent män 55-64 år övriga","Svarsfördelning, procent kvinnor 55-64 år M","Svarsfördelning, procent kvinnor 55-64 år C","Svarsfördelning, procent kvinnor 55-64 år L","Svarsfördelning, procent kvinnor 55-64 år KD","Svarsfördelning, procent kvinnor 55-64 år NYD","Svarsfördelning, procent kvinnor 55-64 år MP","Svarsfördelning, procent kvinnor 55-64 år S","Svarsfördelning, procent kvinnor 55-64 år V","Svarsfördelning, procent kvinnor 55-64 år SD","Svarsfördelning, procent kvinnor 55-64 år övriga","Felmarginal, ± män 55-64 år M","Felmarginal, ± män 55-64 år C","Felmarginal, ± män 55-64 år L","Felmarginal, ± män 55-64 år KD","Felmarginal, ± män 55-64 år NYD","Felmarginal, ± män 55-64 år MP","Felmarginal, ± män 55-64 år S","Felmarginal, ± män 55-64 år V","Felmarginal, ± män 55-64 år SD","Felmarginal, ± män 55-64 år övriga","Felmarginal, ± kvinnor 55-64 år M","Felmarginal, ± kvinnor 55-64 år C","Felmarginal, ± kvinnor 55-64 år L","Felmarginal, ± kvinnor 55-64 år KD","Felmarginal, ± kvinnor 55-64 år NYD","Felmarginal, ± kvinnor 55-64 år MP","Felmarginal, ± kvinnor 55-64 år S","Felmarginal, ± kvinnor 55-64 år V","Felmarginal, ± kvinnor 55-64 år SD","Felmarginal, ± kvinnor 55-64 år övriga"
"2006M05",26.3,7.1,8.5,3.6,..,4.0,45.3,3.4,..,1.8,24.2,7.5,9.7,4.4,..,4.0,41.3,6.8,..,2.3,3.8,2.2,2.4,1.6,..,1.7,4.4,1.6,..,1.2,4.1,2.5,2.8,1.9,..,1.9,4.7,2.4,..,1.4
"2006M11",30.0,6.5,7.3,3.6,..,5.1,40.8,3.8,..,2.9,23.2,9.6,8.9,7.4,..,4.1,39.3,5.6,..,1.9,3.9,2.1,2.2,1.6,..,1.9,4.2,1.6,..,1.5,3.8,2.6,2.6,2.4,..,1.7,4.4,2.1,..,1.2
"2007M05",27.1,6.4,4.6,3.3,..,4.2,47.3,4.8,..,2.4,25.4,8.8,7.4,4.0,..,3.9,45.7,3.9,..,0.9,3.9,2.1,1.8,1.6,..,1.8,4.4,1.9,..,1.4,3.8,2.5,2.3,1.7,..,1.7,4.4,1.7,..,0.8
"2007M11",26.9,7.1,5.3,2.4,..,3.5,46.6,6.2,..,2.0,22.6,7.1,9.3,3.5,..,4.9,47.3,4.2,..,1.2,3.9,2.3,2.0,1.4,..,1.6,4.4,2.2,..,1.3,3.6,2.2,2.5,1.6,..,1.8,4.3,1.7,..,0.9
"2008M05",24.7,6.5,3.4,2.6,..,3.8,49.6,6.8,..,2.7,22.6,5.3,7.1,3.2,..,5.5,50.8,4.1,..,1.4,4.0,2.3,1.7,1.5,..,1.8,4.7,2.4,..,1.5,3.7,2.0,2.3,1.5,..,2.0,4.4,1.8,..,1.1
"2008M11",30.3,7.7,3.3,2.6,..,2.9,45.6,4.8,..,2.9,25.0,5.2,7.7,3.2,..,5.9,47.0,4.5,..,1.5,4.3,2.5,1.6,1.5,..,1.6,4.7,2.0,..,1.6,3.9,2.0,2.5,1.6,..,2.1,4.6,1.9,..,1.1
"2009M05",35.7,6.6,5.0,3.1,..,3.4,38.0,5.0,..,3.1,31.1,4.3,7.4,3.5,..,6.8,38.0,7.3,..,1.5,4.5,2.3,2.0,1.7,..,1.7,4.6,2.1,..,1.7,4.3,1.8,2.4,1.7,..,2.3,4.5,2.4,..,1.1
"2009M11",33.2,5.8,5.2,2.4,..,7.0,36.2,4.3,..,5.9,28.4,6.1,6.6,4.4,..,8.4,39.2,4.6,..,2.4,4.4,2.2,2.0,1.4,..,2.4,4.6,1.9,..,2.2,4.3,2.2,2.3,2.0,..,2.6,4.6,2.0,..,1.5
"2010M05",33.4,3.7,5.2,1.8,..,9.3,33.1,8.1,..,5.4,28.3,4.3,6.9,4.4,..,10.1,35.6,8.1,..,2.3,4.6,1.8,2.1,1.3,..,2.9,4.7,2.6,..,2.2,4.3,1.9,2.4,2.0,..,2.8,4.6,2.6,..,1.5
"2010M11",32.6,6.4,4.9,2.9,..,6.0,31.7,7.2,7.0,1.2,27.6,4.8,8.6,4.8,..,8.9,35.2,6.4,3.0,..,4.4,2.4,2.0,1.5,..,2.1,4.3,2.5,3.0,1.2,4.0,2.1,2.6,1.9,..,2.6,4.5,2.4,2.0,..
